start;end;duration;event
2022-07-19 12:15:00;2022-07-19 13:15:00;1,0;English Class - Fluentia
2022-07-19 14:00:00;2022-07-19 15:00:00;1,0;Learning Week | Reaprenda a Aprender I : Luis Sérgio Ferreira
2022-07-19 17:00:00;2022-07-19 18:00:00;1,0;Reserva
2022-07-20 08:45:00;2022-07-20 09:15:00;0,5;Daily | Solutions Team
2022-07-20 09:00:00;2022-07-20 12:00:00;3,0;Sensedia - Apresentação FixPay
2022-07-20 10:00:00;2022-07-20 12:00:00;2,0;2º Workshop - Plantão de Dúvidas - Certificados ICP Brasil <reserva>
2022-07-20 10:30:00;2022-07-20 12:00:00;1,5;Reserva - Demo - GCB Investimentos
2022-07-20 11:00:00;2022-07-20 11:45:00;0,75;Open Finance Strat Sync
2022-07-20 12:00:00;2022-07-20 13:00:00;1,0;Out of office - Lunch Time
2022-07-20 13:00:00;2022-07-20 14:00:00;1,0;Deslocamento Ida - PagSeguro
2022-07-20 14:00:00;2022-07-20 15:00:00;1,0;Learning Week | Workshop de Criatividade: Tadeu Brettas
2022-07-20 14:00:00;2022-07-20 16:00:00;2,0;[Pag Seguro] Módulos/ Add-Ons da Plataforma Sensedia
2022-07-20 16:00:00;2022-07-20 17:00:00;1,0;Deslocamento Volta - PagSeguro
2022-07-21 08:45:00;2022-07-21 09:15:00;0,5;Daily | Solutions Team
2022-07-21 09:00:00;2022-07-21 10:00:00;1,0;Flavio / Renan
2022-07-21 10:00:00;2022-07-21 11:30:00;1,5;[EMEA] Presentation Preview for Connect Pay
2022-07-21 11:00:00;2022-07-21 12:00:00;1,0;[Open Finance] Tribo - Acompanhamento semanal
2022-07-21 12:00:00;2022-07-21 13:00:00;1,0;Out of office - Lunch Time
2022-07-21 12:15:00;2022-07-21 13:15:00;1,0;English Class - Fluentia
2022-07-21 13:00:00;2022-07-21 14:00:00;1,0;Trajeto até a consulta Cetago
2022-07-21 13:30:00;2022-07-21 14:00:00;0,5;rec: OPBR Updates
2022-07-21 14:00:00;2022-07-21 15:00:00;1,0;Consulta Médica CETAGO
2022-07-21 15:00:00;2022-07-21 16:30:00;1,5;Sensedia <> Agibank
2022-07-21 15:00:00;2022-07-21 16:00:00;1,0;Trajeto volta da Cetago
2022-07-21 15:30:00;2022-07-21 16:30:00;1,0;Construção de proposta Zappts&Sensedia | Amcham
2022-07-21 17:30:00;2022-07-21 18:00:00;0,5;rec: Imersão LATAM em Open Banking BR
2022-07-22 09:00:00;2022-07-22 10:00:00;1,0;WGO Global Reach
2022-07-22 10:00:00;2022-07-22 10:30:00;0,5;[CARDIF] - Definições
2022-07-22 10:00:00;2022-07-22 12:00:00;2,0;BR Sales - Alinhamento Semanal
2022-07-22 10:30:00;2022-07-22 12:00:00;1,5;Solution Tech Meetings
2022-07-22 11:00:00;2022-07-22 12:00:00;1,0;[CRDC] Adaptive Governance
2022-07-22 12:00:00;2022-07-22 13:00:00;1,0;Out of office - Lunch Time
2022-07-22 14:00:00;2022-07-22 15:00:00;1,0;Learning Week | Experiência de Aprendizagem: Sara Zinzani
